t,nw_0,target_0,input_0
0,-0.4626850487179074,,1
1,-1.149799673158587,,1
2,-1.8031261348761733,,1
3,-2.300520144038582,,1
4,-2.608359682482484,,1
5,-2.7309141546143634,,1
6,-2.683409544619293,,1
7,-2.4827054449179413,,1
8,-2.1461794199111344,,1
9,-1.6932794374462503,,1
10,-1.1470733988587614,,1
11,-0.5345707534305211,,1
12,0.11444769028407897,,1
13,0.7696593562125731,1,1
14,1.402756032925761,,1
15,1.989668603546626,,1
16,2.512070477813946,,1
17,2.9580478442003413,,1
18,3.3220165219308413,,1
19,3.604058078026278,,1
20,3.808872178033173,,1
21,3.9445322469302155,,1
22,4.021207725620252,,1
23,4.04998501502451,,1
24,4.041881593818231,,1
25,4.007106034191748,,1
26,3.9545759151950364,,1
27,3.891672046146617,,1
28,3.824185248250603,,1
29,3.756402264552335,,1
30,4.290178940932596,,0
31,4.706229705480257,,0
32,4.989691183375255,,0
33,5.111166952602632,,0
34,5.072257525212665,0,0
35,4.897108175241266,,0
36,4.617181582951563,,0
37,4.262538927497165,,0
38,3.8590025331670645,,0
39,3.4280972537689904,,0
40,2.9877175909401235,,0
41,2.552696134737668,,0
42,2.135119894114206,,0
43,1.744482166890637,,0
44,1.3877862250721043,,0
45,1.0696727620146582,,0
46,0.7925961832595059,,0
47,0.5570492222419094,,0
48,0.3618284886733454,,0
49,0.20433455999541117,,0
50,0.08090054707389072,,0
51,-0.012860454016582645,,0
52,-0.08170468427924016,,0
53,-0.1304248238064969,,0
54,-0.16355770076898413,,0
55,-0.18515279040959687,1,0
56,-0.19861539992130428,,0
57,-0.20663015363813608,,0
58,-0.21116172449927317,,0
59,-0.21352192766937783,,0
60,-0.21448619635545985,,0
61,-0.21443876959422647,,0
62,-0.21352505455810178,,0
63,-0.21179161896259213,,0
64,-0.20929869070706308,,0
65,-0.20619603483949067,,0
66,-0.20275953972345917,,0
67,-0.19939167873593622,,0
68,-0.19659336902999058,,0
69,-0.19491717107442508,,0
70,-0.19491224270645668,,0
71,-0.19707032125522028,,0
72,-0.20177981487561292,,0
73,-0.20929244924316182,,0
74,-0.21970436291068562,,0
75,-0.23295143267197105,0,0
76,-0.24881711186101052,,0
77,-0.2669501936704508,,0
78,-0.2868895766674746,,0
79,-0.3080931700003111,,0
80,-0.3299683866090426,,0
81,-0.3519021126077919,,0
82,-0.3732885219811526,,0
83,-0.3935535720027934,,0
84,-0.4121754353255529,,0
85,-0.4287004850688838,,0
86,-0.4427547449749012,,0
87,-0.45405094908070565,,0
88,-0.4623915289887206,,0
89,-0.4676679683640472,,0
90,-0.4698570414694503,,0
91,-0.469014493269857,,0
92,-0.4652667302220501,,0
93,-0.4588010795364492,,0
94,-0.44985514543489025,,0
95,-0.4387057476411944,,0
96,-0.4256578732584644,0,0
97,-0.41103401126497063,,0
98,-0.3951641720713146,,0
99,-0.3783768260025073,,0
100,-0.36099092727848525,,0
101,-0.34330912691925786,,0
102,-0.3256122213612245,,0
103,-0.30815483510588093,,0
104,-0.2911622962914535,,0
105,-0.27482863375358946,,0
106,-0.2593156023279817,,0
107,-0.2447526287764914,,0
108,-0.2312375624675327,,0
109,-0.21883811144215715,,0
110,-0.20759384450004825,,0
111,-0.19751864242039074,,0
112,-0.1886034856453329,,0
113,-0.18081947122042985,,0
114,-0.17412095826345775,,0
115,-0.1684487486370525,,0
116,-0.16373321783974415,,0
117,-0.1598973204321812,1,0
118,-0.15685940457034175,,0
119,-0.1545357813391841,,0
120,-0.15284300638967885,,0
121,-0.15169984360627886,,0
122,-0.15102889282470988,,0
123,-0.15075787558670628,,0
124,-0.15082058415564092,,0
125,-0.15115750914209336,,0
126,-0.15171616977695157,,0
127,-0.15245117787398543,,0
