beat_time,elapsed
1,0.057078173
1,0.058965253
1,0.056925491
1,0.055785317
0.99,0.053889153
0.99,0.062738482
0.99,0.07046702
0.99,0.055256406
0.98,0.064127814
0.98,0.058940241
0.98,0.053925314
0.98,0.072481698
0.97,0.06760392
0.97,0.072576052
0.97,0.054422552
0.97,0.060075256
0.96,0.064890201
0.96,0.056671069
0.96,0.071247546
0.96,0.063039264
0.95,0.054771532
0.95,0.056516101
0.95,0.058361393
0.95,0.059950347
0.94,0.061780701
0.94,0.073532228
0.94,0.062251502
0.94,0.050990396
0.93,0.062760753
0.93,0.061619508
0.93,0.060424786
0.93,0.05910131
0.92,0.057968497
0.92,0.065637159
0.92,0.05133336
0.92,0.060024273
0.91,0.068769935
0.91,0.064459942
0.91,0.059227568
0.91,0.054988724
0.9,0.073424197
0.9,0.055487451
0.9,0.061105925
0.9,0.066924633
0.89,0.072560763
0.89,0.064362092
0.89,0.057014165
0.89,0.071791296
0.88,0.064523774
0.88,0.06623369
0.88,0.069098458
0.88,0.070880019
0.87,0.073515672
0.87,0.062175389
0.87,0.051012026
0.87,0.063769184
0.86,0.052275907
0.86,0.051077319
0.86,0.073656918
0.86,0.072618934
0.85,0.071327304
0.85,0.056947131
0.85,0.066600234
0.85,0.051327792
0.84,0.060949401
0.84,0.05666912
0.84,0.051780045
0.84,0.0708381
0.83,0.066599446
0.83,0.072420984
0.83,0.054925561
0.83,0.06056885
0.82,0.067238039
0.82,0.05881396
0.82,0.051523483
0.82,0.067244208
0.81,0.060028547
0.81,0.062659549
0.81,0.065340425
0.81,0.0679273
0.8,0.070314372
0.8,0.060108622
0.8,0.071508649
0.8,0.061153464
0.79,0.073712633
0.79,0.073571245
0.79,0.072157178
0.79,0.071919131
0.78,0.071153108
0.78,0.056995754
0.78,0.066679181
0.78,0.052289102
0.77,0.062045938
0.77,0.057629176
0.77,0.054173333
0.77,0.073722246
0.76,0.069060211
0.76,0.052885852
0.76,0.05864305
0.76,0.063854489
0.75,0.070539241
0.75,0.063164731
0.75,0.056631518
0.75,0.072211532
0.74,0.064715173
0.74,0.068421095
0.74,0.070919127
0.74,0.050341781
0.73,0.053011807
0.73,0.066618243
