t,input,nw
0,1,0.2703727545631942
1,1,0.4302359945695322
2,1,0.5114564159217068
3,1,0.537522614708795
4,1,0.5255280183987097
5,1,0.48781315360330524
6,1,0.4332661537233662
7,1,0.36831314192948383
8,1,0.29764711128125043
9,1,0.22474768389724176
10,0,0.5658657409503149
11,0,0.8503516792236709
12,0,1.0760314340516288
13,0,1.2459048353135032
14,0,1.3659834019256394
15,0,1.4437602947607644
16,0,1.487156509597476
17,0,1.5038242083362974
18,0,1.5007156806879607
19,0,1.4838472772199793
20,0,1.458203569322695
21,0,1.4277392504710917
22,0,1.3954458491889739
23,0,1.3634579002357405
24,0,1.3331793430686432
25,0,1.305415941656328
26,1,1.6431416119885114
27,1,1.834601933847317
28,1,1.9160198359134313
29,1,1.9159095875975254
30,1,1.8565734456137264
31,1,1.7553787833741339
32,1,1.6258151894878736
33,1,1.478341174073634
34,1,1.321044523983062
35,1,1.1601482879966056
36,0,1.402937069544322
37,0,1.6346437047484983
38,0,1.8381198025590066
39,0,2.004858203099296
40,0,2.13216822697634
41,0,2.221072680607861
42,0,2.27478058840493
43,0,2.2976113269204603
44,0,2.2942660993595894
45,0,2.269361054079482
46,0,2.2271525495307145
47,0,2.1713990621864383
48,0,2.105316162651185
49,0,2.0315910640426154
50,0,1.9524316897781802
51,1,2.244035626011744
52,1,2.392528194595549
53,1,2.435103345979769
54,1,2.4012284639971
55,1,2.3139478611857385
56,1,2.191053791701762
57,1,2.046113102493649
58,1,1.8893379229526346
59,1,1.7283026998409383
60,1,1.568521621171385
61,0,1.7640666331130035
62,0,1.9586957980501154
63,0,2.131694634477327
64,0,2.2723298703552217
65,0,2.376611867564826
66,0,2.4448726828882457
67,0,2.480002764132358
68,0,2.4862079524072414
69,0,2.468168380298536
70,0,2.4305003769051865
71,0,2.377440575828949
72,0,2.3126875430547855
73,0,2.2393502373290417
74,0,2.1599645327835617
75,1,2.4341547984602414
76,1,2.572289608540032
77,1,2.610412693528872
78,1,2.576694232157962
79,1,2.4928343502662003
80,1,2.3753121194996396
81,1,2.236471423607256
82,1,2.0854338834265036
83,1,1.9288427922452058
84,1,1.7714540824615455
85,0,1.9886024757315255
86,0,2.1999531394549336
87,0,2.385645404172891
88,0,2.5356756510680185
89,0,2.6466304149665234
90,0,2.7192602751961346
91,0,2.756728847597657
92,0,2.7633918353570692
93,0,2.7439827398889634
94,0,2.703102767587481
95,0,2.6449316725419507
96,0,2.5730932656777057
97,0,2.490623983153526
98,0,2.400005327881999
99,0,2.303231345382329
