t,nw_0,input
1,0.005349639,0
2,0.012337274,0
3,0.020734837,0
4,0.03035195,0
5,0.041025277,0
6,0.052610997,0
7,0.064978935,0
8,0.07800825,0
9,0.09158429,0
10,0.10559652,0
11,0.1199372,0
12,0.13450037,0
13,0.14918135,0
14,0.16387688,0
15,0.17848459,0
16,0.19290392,0
17,0.20703574,0
18,0.22078273,0
19,0.23405017,0
20,0.24674574,0
21,0.2587801,0
22,0.27006698,0
23,0.28052384,0
24,0.29007155,0
25,0.298635,0
26,0.3061433,0
27,0.31252965,0
28,0.3177314,0
29,0.32169068,0
30,0.3243543,0
31,0.32567352,0
32,0.32560462,0
33,0.32410854,0
34,0.3211515,0
35,0.3167045,0
36,0.31074408,0
37,0.30325177,0
38,0.29421458,0
39,0.283625,0
40,0.27148104,0
41,0.25778645,0
42,0.24255098,0
43,0.22579001,0
44,0.20752531,0
45,0.18778431,0
46,0.16660102,0
47,0.14401564,0
48,0.12007488,0
49,0.09483189,0
50,0.06834623,0
51,0.040684238,0
52,0.011918749,0
53,-0.017870847,0
54,-0.04859849,0
55,-0.08017169,0
56,-0.112491414,0
57,-0.14545251,0
58,-0.17894347,0
59,-0.21284679,0
60,-0.24703911,0
61,-0.28139183,0
62,-0.3157709,0
63,-0.35003713,0
64,-0.38404715,0
65,-0.41765353,0
66,-0.45070496,0
67,-0.48304716,0
68,-0.51452297,0
69,-0.54497373,0
70,-0.5742392,0
71,-0.60215855,0
72,-0.6285708,0
73,-0.653316,0
74,-0.67623556,0
75,-0.69717336,0
76,-0.7159766,0
77,-0.7324961,0
78,-0.74658793,0
79,-0.7581136,0
80,-0.7669408,0
81,-0.77294546,0
82,-0.77601093,0
83,-0.7760298,0
84,-0.77290434,0
85,-0.76654774,0
86,-0.7568838,0
87,-0.74384856,0
88,-0.72739065,0
89,-0.70747167,0
90,-0.68406713,0
91,-0.6571666,0
92,-0.6267743,0
93,-0.5929099,0
94,-0.55560786,0
95,-0.51491916,0
96,-0.47091025,0
97,-0.4236644,0
98,-0.3732808,0
99,-0.3198758,0
100,-0.2635816,0
101,-0.2045481,0
102,-0.14294133,0
103,-0.078944124,0
104,-0.012755986,0
105,0.055407546,0
106,0.12531453,0
107,0.19671728,0
108,0.26935285,0
109,0.3429433,0
110,0.41719633,0
111,0.4918059,0
112,0.5664534,0
113,0.6408077,0
114,0.7145271,0
115,0.7872601,0
116,0.858647,0
117,0.9283204,0
118,0.9959082,0
119,1.0610337,0
120,1.1233194,0
121,1.1823868,0
122,1.23786,0
123,1.2893671,0
124,1.3365428,0
125,1.37903,0
126,1.4164829,0
127,1.4485682,0
128,1.4749681,0
129,1.495382,0
130,1.5095284,0
131,1.5171473,0
132,1.5180012,0
133,1.5118772,0
134,1.498588,0
135,1.4779738,0
136,1.4499024,0
137,1.414271,0
138,1.3710063,0
139,1.3200651,0
140,1.2614354,0
141,1.1951361,0
142,1.121217,0
143,1.0397604,0
144,0.95087945,0
145,0.8547202,0
146,0.75145984,0
147,0.6413093,0
148,0.5245118,0
149,0.40134382,0
150,0.27211642,0
151,0.13717528,0
152,-0.00309854,0
153,-0.14828771,0
154,-0.2979373,0
155,-0.45155397,0
156,-0.6086059,0
157,-0.7685207,0
158,-0.9306862,0
159,-1.0944495,0
160,-1.2591175,0
161,-1.4239581,0
162,-1.5882006,0
163,-1.7510395,0
164,-1.911636,0
165,-2.0691235,0
166,-2.2226112,0
167,-2.3711917,0
168,-2.5139463,0
169,-2.6499543,0
170,-2.7783,0
171,-2.8980842,0
172,-3.0084288,0
173,-3.1084912,0
174,-3.1974707,0
175,-3.2746155,0
176,-3.3392355,0
177,-3.3907034,0
178,-3.4284625,0
179,-3.4520326,0
180,-3.4610088,0
181,-3.4550672,0
182,-3.4339619,0
183,-3.3975265,0
184,-3.3456688,0
185,-3.2783709,0
186,-3.1956837,0
187,-3.0977216,0
188,-2.984661,0
189,-2.8567328,0
190,-2.7142189,0
191,-2.5574493,0
192,-2.3867953,0
193,-2.2026708,0
194,-2.0055258,0
195,-1.7958478,0
196,-1.5741602,0
197,-1.3410227,0
198,-1.0970356,0
199,-0.8428402,0
200,-0.57912266,0
201,-0.3066213,0
202,-0.026130617,0
203,0.26149008,0
204,0.55531114,0
205,0.8543232,0
206,1.1574309,0
207,1.4634448,0
208,1.7710768,0
209,2.078938,0
210,2.385535,0
211,2.6892748,0
212,2.9884713,0
213,3.2813575,0
214,3.5661016,0
215,3.840829,0
216,4.103649,0
217,4.3526845,0
218,4.586104,0
219,4.802156,0
220,4.9992,0
221,5.175739,0
222,5.3304405,0
223,5.462162,0
224,5.5699625,0
225,5.65311,0
226,5.711084,0
227,5.74357,0
228,5.750449,0
229,5.731785,0
230,5.6878057,0
231,5.6188865,0
232,5.525526,0
233,5.408328,0
234,5.2679796,0
235,5.105236,0
236,4.920897,0
237,4.715795,0
238,4.490784,0
239,4.2467237,0
240,3.9844744,0
241,3.7048907,0
242,3.4088151,0
243,3.09708,0
244,2.770508,0
245,2.4299138,0
246,2.0761123,0
247,1.7099273,0
248,1.3322016,0
249,0.9438115,0
250,0.54568076,0
251,0.13880216,0
252,-0.27574557,0
253,-0.69677377,0
254,-1.1229634,0
255,-1.5528407,0
256,-1.9847585,0
257,-2.4168806,0
258,-2.8471682,0
259,-3.27338,0
260,-3.6930797,0
261,-4.103656,0
262,-4.502355,0
263,-4.8863344,0
264,-5.252717,0
265,-5.5986657,0
266,-5.921453,0
267,-6.218536,0
268,-6.487623,0
269,-6.726729,0
270,-6.934215,0
271,-7.108814,0
272,-7.24964,0
273,-7.3561807,0
274,-7.428278,0
275,-7.4661016,0
276,-7.4701095,0
277,-7.441008,0
278,-7.379715,0
279,-7.28731,0
280,-7.165001,0
281,-7.014084,0
282,-6.835912,0
283,-6.631863,0
284,-6.4033194,0
285,-6.1516438,0
286,-5.878165,0
287,-5.584166,0
288,-5.2708764,0
289,-4.939463,0
290,-4.591037,0
291,-4.2266455,0
292,-3.8472843,0
293,-3.4539015,0
294,-3.047404,0
295,-2.6286755,0
296,-2.1985862,0
297,-1.7580115,0
298,-1.3078527,0
299,-0.8490544,0
300,-0.38263437,0
301,0.09029862,0
302,0.56851053,0
303,1.0506196,0
304,1.5350692,0
305,2.0201066,0
306,2.5037615,0
307,2.9838407,0
308,3.4579215,0
309,3.9233682,0
310,4.377357,0
311,4.816918,0
312,5.238995,0
313,5.640514,0
314,6.018467,0
315,6.369998,0
316,6.6924825,0
317,6.983603,0
318,7.241406,0
319,7.4643407,0
320,7.651283,0
321,7.801535,0
322,7.914806,0
323,7.991188,0
324,8.031118,0
325,8.035326,0
326,8.004797,0
327,7.9407153,0
328,7.844421,0
329,7.717367,0
330,7.5610795,0
331,7.377118,0
332,7.1670575,0
333,6.9324512,0
334,6.6748195,0
335,6.395629,0
336,6.096284,0
337,5.7781167,0
338,5.442386,0
339,5.0902724,0
340,4.7228856,0
341,4.3412604,0
342,3.9463744,0
343,3.539145,0
344,3.1204495,0
345,2.691133,0
346,2.2520242,0
347,1.8039534,0
348,1.3477687,0
349,0.88435996,0
350,0.41467953,0
351,-0.060232908,0
352,-0.5392252,0
353,-1.0210068,0
354,-1.5041229,0
355,-1.9869317,0
356,-2.4675877,0
357,-2.9440281,0
358,-3.4139686,0
359,-3.8749132,0
360,-4.3241777,0
361,-4.758923,0
362,-5.176215,0
363,-5.5730896,0
364,-5.9466257,0
365,-6.2940383,0
366,-6.6127524,0
367,-6.9004784,0
368,-7.1552696,0
369,-7.3755693,0
370,-7.5602293,0
371,-7.7085104,0
372,-7.8200784,0
373,-7.8949738,0
374,-7.933577,0
375,-7.9365606,0
376,-7.9048533,0
377,-7.8395867,0
378,-7.7420487,0
379,-7.613647,0
380,-7.455862,0
381,-7.2702203,0
382,-7.0582566,0
383,-6.821496,0
384,-6.561428,0
385,-6.2794933,0
386,-5.9770703,0
387,-5.655469,0
388,-5.3159237,0
389,-4.9595966,0
390,-4.5875745,0
391,-4.2008786,0
392,-3.8004684,0
393,-3.387255,0
394,-2.962109,0
395,-2.5258794,0
396,-2.0794075,0
397,-1.6235482,0
398,-1.1591885,0
399,-0.6872718,0
400,-0.20882374,0
401,0.27502254,0
402,0.76300085,0
403,1.253684,0
404,1.7454612,0
405,2.236516,0
406,2.7248151,0
407,3.2080972,0
408,3.6838834,0
409,4.1494904,0
410,4.602063,0
411,5.038623,0
412,5.456132,0
413,5.851562,0
414,6.2219825,0
415,6.564644,0
416,6.8770533,0
417,7.1570477,0
418,7.4028425,0
419,7.6130643,0
420,7.786768,0
421,7.9234295,0
422,8.022921,0
423,8.085488,0
424,8.111697,0
425,8.102399,0
426,8.058671,0
427,7.981779,0
428,7.873127,0
429,7.734211,0
430,7.5665903,0
431,7.371849,0
432,7.151569,0
433,6.907306,0
434,6.640575,0
435,6.3528314,0
436,6.0454645,0
437,5.7197876,0
438,5.3770413,0
439,5.018385,0
440,4.6449075,0
441,4.257627,0
442,3.8575,0
443,3.4454331,0
444,3.0222907,0
445,2.5889106,0
446,2.1461196,0
447,1.694749,0
448,1.2356564,0
449,0.76974297,0
450,0.2979805,0
451,-0.1785668,0
452,-0.65871716,0
453,-1.141145,0
454,-1.624357,0
455,-2.1066728,0
456,-2.5862048,0
457,-3.060851,0
458,-3.5282946,0
459,-3.9860132,0
460,-4.431306,0
461,-4.8613334,0
462,-5.2731757,0
463,-5.6638966,0
464,-6.030629,0
465,-6.3706503,0
466,-6.6814666,0
467,-6.9608784,0
468,-7.2070384,0
469,-7.4184895,0
470,-7.594179,0
471,-7.733467,0
472,-7.836103,0
473,-7.902202,0
474,-7.9322095,0
475,-7.9268546,0
476,-7.887107,0
477,-7.8141284,0
478,-7.7092304,0
479,-7.573832,0
480,-7.4094214,0
481,-7.2175198,0
482,-6.9996557,0
483,-6.7573447,0
484,-6.4920583,0
485,-6.2052217,0
486,-5.898195,0
487,-5.572268,0
488,-5.2286563,0
489,-4.8685017,0
490,-4.492875,0
491,-4.102783,0
492,-3.6991706,0
493,-3.2829385,0
494,-2.8549528,0
495,-2.4160585,0
496,-1.9671005,0
497,-1.5089389,0
498,-1.0424755,0
499,-0.5686728,0
500,-0.08858135,0
501,0.39663422,0
502,0.8856674,0
503,1.3770444,0
504,1.8691046,0
505,2.3599749,0
506,2.8475606,0
507,3.3295436,0
508,3.8033855,0
509,4.266351,0
510,4.7155457,0
511,5.147961,0
512,5.5605497,0
513,5.950294,0
514,6.3142977,0
515,6.6498623,0
516,6.95457,0
517,7.2263446,0
518,7.4635043,0
519,7.664781,0
520,7.8293386,0
521,7.956755,0
522,8.047006,0
523,8.100419,0
524,8.117643,0
525,8.09959,0
526,8.047397,0
527,7.9623666,0
528,7.845933,0
529,7.6996164,0
530,7.5249853,0
531,7.3236275,0
532,7.097121,0
533,6.847017,0
534,6.574814,0
535,6.2819552,0
536,5.9698105,0
537,5.639677,0
538,5.2927713,0
539,4.9302406,0
540,4.5531507,0
541,4.162505,0
542,3.7592483,0
543,3.344272,0
544,2.9184332,0
545,2.4825654,0
546,2.0374947,0
547,1.5840545,0
548,1.1231114,0
549,0.65558195,0
550,0.1824574,0
551,-0.2951724,0
552,-0.77609235,0
553,-1.2589386,0
554,-1.7421732,0
555,-2.2240667,0
556,-2.7026792,0
557,-3.1758547,0
558,-3.6412234,0
559,-4.0962157,0
560,-4.538091,0
561,-4.9639835,0
562,-5.3709617,0
563,-5.756098,0
564,-6.116552,0
565,-6.44965,0
566,-6.7529645,0
567,-7.0243783,0
568,-7.262139,0
569,-7.464887,0
570,-7.631674,0
571,-7.761957,0
572,-7.8555813,0
573,-7.9127474,0
574,-7.9339757,0
575,-7.92006,0
576,-7.8720217,0
577,-7.7910647,0
578,-7.678532,0
579,-7.535861,0
580,-7.3645535,0
581,-7.1661344,0
582,-6.942133,0
583,-6.694052,0
584,-6.4233565,0
585,-6.1314554,0
586,-5.8196917,0
587,-5.489336,0
588,-5.141587,0
589,-4.777567,0
590,-4.3983316,0
591,-4.0048695,0
592,-3.5981143,0
593,-3.1789572,0
594,-2.7482557,0
595,-2.3068547,0
596,-1.8555987,0
597,-1.3953573,0
598,-0.9270421,0
599,-0.4516359,0
600,0.029785499,0
601,0.51602507,0
602,1.0057399,0
603,1.497412,0
604,1.9893298,0
605,2.479568,0
606,2.9659781,0
607,3.4461854,0
608,3.9176035,0
609,4.377453,0
610,4.8228064,0
611,5.2506404,0
612,5.657907,0
613,6.0416107,0
614,6.3988953,0
615,6.7271233,0
616,7.0239573,0
617,7.2874126,0
618,7.515905,0
619,7.708274,0
620,7.8637824,0
621,7.9821124,0
622,8.063324,0
623,8.107832,0
624,8.11635,0
625,8.089852,0
626,8.029517,0
627,7.936686,0
628,7.812817,0
629,7.659445,0
630,7.4781446,0
631,7.270506,0
632,7.038101,0
633,6.782469,0
634,6.505097,0
635,6.2074103,0
636,5.8907614,0
637,5.55643,0
638,5.2056127,0
639,4.839436,0
640,4.4589534,0
641,4.0651507,0
642,3.6589584,0
643,3.2412605,0
644,2.812905,0
645,2.3747234,0
646,1.9275421,0
647,1.4721999,0
648,1.0095739,0
649,0.54059654,0
650,0.066280365,0
651,-0.41225475,0
652,-0.89376116,0
653,-1.3768343,0
654,-1.8598917,0
655,-2.3411527,0
656,-2.8186262,0
657,-3.2901037,0
658,-3.7531652,0
659,-4.2051964,0
660,-4.6434216,0
661,-5.0649543,0
662,-5.466855,0
663,-5.8462133,0
664,-6.2002196,0
665,-6.526255,0
666,-6.821963,0
667,-7.085311,0
668,-7.3146377,0
669,-7.5086856,0
670,-7.666605,0
671,-7.78795,0
672,-7.8726554,0
673,-7.9210033,0
674,-7.9335837,0
675,-7.911252,0
676,-7.855076,0
677,-7.766297,0
678,-7.646286,0
679,-7.496499,0
680,-7.318445,0
681,-7.113653,0
682,-6.8836474,0
683,-6.629923,0
684,-6.353934,0
685,-6.0570707,0
686,-5.7406607,0
687,-5.4059577,0
688,-5.054141,0
689,-4.6863155,0
690,-4.303522,0
691,-3.9067323,0
692,-3.4968705,0
693,-3.0748174,0
694,-2.641426,0
695,-2.1975389,0
696,-1.7440058,0
697,-1.2817049,0
698,-0.8115613,0
699,-0.3345796,0
700,0.14813714,0
701,0.6353603,0
702,1.1257045,0
703,1.6176074,0
704,2.1093066,0
705,2.5988219,0
706,3.0839503,0
707,3.562264,0
708,4.0311255,0
709,4.4877157,0
710,4.9290776,0
711,5.3521748,0
712,5.753964,0
713,6.131477,0
714,6.4819016,0
715,6.8026695,0
716,7.0915227,0
717,7.3465714,0
718,7.5663342,0
719,7.749754,0
720,7.8961983,0
721,8.005444,0
722,8.07764,0
723,8.11328,0
724,8.113147,0
725,8.078268,0
726,8.009867,0
727,7.9093156,0
728,7.778096,0
729,7.6177535,0
730,7.4298725,0
731,7.2160378,0
732,6.9778185,0
733,6.716739,0
734,6.4342747,0
735,6.131833,0
736,5.810748,0
737,5.47228,0
738,5.1176085,0
739,4.7478423,0
740,4.364015,0
741,3.9670997,0
742,3.5580158,0
743,3.1376357,0
744,2.706803,0
745,2.2663445,0
746,1.8170887,0
747,1.359883,0
748,0.89561486,0
749,0.42523438,0
750,-0.05022195,0
751,-0.52960587,0
752,-1.0116341,0
753,-1.4948591,0
754,-1.9776524,0
755,-2.4581835,0
756,-2.9344077,0
757,-3.4040637,0
758,-3.8646817,0
759,-4.3136053,0
760,-4.748026,0
761,-5.1650376,0
762,-5.561701,0
763,-5.935123,0
764,-6.282532,0
765,-6.6013684,0
766,-6.889348,0
767,-7.1445246,0
768,-7.3653374,0
769,-7.550625,0
770,-7.699637,0
771,-7.8120255,0
772,-7.887812,0
773,-7.9273586,0
774,-7.931324,0
775,-7.900619,0
776,-7.8363605,0
777,-7.7398233,0
778,-7.6124024,0
779,-7.455571,0
780,-7.2708454,0
781,-7.059755,0
782,-6.823819,0
783,-6.564526,0
784,-6.2833123,0
785,-5.9815555,0
786,-5.660566,0
787,-5.321577,0
788,-4.9657507,0
789,-4.5941772,0
790,-4.2078786,0
791,-3.8078144,0
792,-3.3948948,0
793,-2.9699953,0
794,-2.5339637,0
795,-2.0876422,0
796,-1.6318862,0
797,-1.167582,0
798,-0.6956735,0
799,-0.21718648,0
800,0.26675022,0
801,0.7548689,0
802,1.2457454,0
803,1.7377684,0
804,2.229125,0
805,2.717781,0
806,3.201477,0
807,3.677733,0
808,4.143863,0
809,4.597011,0
810,5.0341935,0
811,5.452367,0
812,5.848497,0
813,6.219646,0
814,6.563055,0
815,6.8762245,0
816,7.1569824,0
817,7.4035354,0
818,7.6145034,0
819,7.7889366,0
820,7.9263024,0
821,8.026473,0
822,8.089685,0
823,8.1165085,0
824,8.107788,0
825,8.064603,0
826,7.9882193,0
827,7.8800397,0
828,7.741563,0
829,7.5743504,0
830,7.379986,0
831,7.1600537,0
832,6.916113,0
833,6.649678,0
834,6.3622084,0
835,6.0550942,0
836,5.729651,0
837,5.3871193,0
838,5.028664,0
839,4.655371,0
840,4.2682614,0
841,3.8682926,0
842,3.4563713,0
843,3.0333617,0
844,2.600102,0
845,2.1574194,0
846,1.706143,0
847,1.2471296,0
848,0.7812784,0
849,0.3095594,0
850,-0.16696617,0
851,-0.6471196,0
852,-1.1295793,0
853,-1.6128563,0
854,-2.095274,0
855,-2.5749497,0
856,-3.049786,0
857,-3.5174706,0
858,-3.975484,0
859,-4.4211297,0
860,-4.851569,0
861,-5.263882,0
862,-5.6551337,0
863,-6.0224524,0
864,-6.3631115,0
865,-6.674611,0
866,-6.9547462,0
867,-7.201661,0
868,-7.4138894,0
869,-7.5903726,0
870,-7.73046,0
871,-7.833895,0
872,-7.9007874,0
873,-7.931575,0
874,-7.9269824,0
875,-7.8879743,0
876,-7.8157105,0
877,-7.7115,0
878,-7.57676,0
879,-7.4129753,0
880,-7.221671,0
881,-7.0043755,0
882,-6.762601,0
883,-6.497824,0
884,-6.21147,0
885,-5.9048986,0
886,-5.579403,0
887,-5.236198,0
888,-4.8764296,0
889,-4.5011683,0
890,-4.111421,0
891,-3.7081351,0
892,-3.2922113,0
893,-2.8645148,0
894,-2.4258933,0
895,-1.9771886,0
896,-1.5192615,0
897,-1.0530107,0
898,-0.57939786,0
899,-0.09947032,0
900,0.3856098,0
901,0.8745395,0
902,1.3658514,0
903,1.8578876,0
904,2.3487806,0
905,2.836443,0
906,3.3185592,0
907,3.792597,0
908,4.255827,0
909,4.705355,0
910,5.1381774,0
911,5.5512457,0
912,5.941541,0
913,6.306163,0
914,6.6424065,0
915,6.9478483,0
916,7.2204027,0
917,7.458378,0
918,7.6604967,0
919,7.8259115,0
920,7.9541917,0
921,8.045302,0
922,8.0995655,0
923,8.117621,0
924,8.100377,0
925,8.048964,0
926,7.9646816,0
927,7.848963,0
928,7.7033234,0
929,7.5293355,0
930,7.328582,0
931,7.1026444,0
932,6.853072,0
933,6.58137,0
934,6.288978,0
935,5.9772696,0
936,5.6475425,0
937,5.301018,0
938,4.9388413,0
939,4.562083,0
940,4.1717467,0
941,3.7687771,0
942,3.3540702,0
943,2.9284809,0
944,2.4928443,0
945,2.047985,0
946,1.5947396,0
947,1.1339709,0
948,0.66659427,0
949,0.19359963,0
950,-0.2839258,0
951,-0.7647711,0
952,-1.2475744,0
953,-1.7308043,0
954,-2.2127342,0
955,-2.6914303,0
956,-3.1647422,0
957,-3.630305,0
958,-4.0855536,0
959,-4.5277524,0
960,-4.954036,0
961,-5.3614764,0
962,-5.7471447,0
963,-6.1081977,0
964,-6.4419575,0
965,-6.7459893,0
966,-7.01817,0
967,-7.256734,0
968,-7.460315,0
969,-7.627956,0
970,-7.759103,0
971,-7.8535914,0
972,-7.9116144,0
973,-7.933686,0
974,-7.9205923,0
975,-7.873349,0
976,-7.79316,0
977,-7.6813602,0
978,-7.5393887,0
979,-7.368743,0
980,-7.170951,0
981,-6.94754,0
982,-6.700014,0
983,-6.429838,0
984,-6.138424,0
985,-5.8271155,0
986,-5.4971848,0
987,-5.149833,0
988,-4.786185,0
989,-4.4072957,0
990,-4.014157,0
991,-3.607704,0
992,-3.1888266,0
993,-2.7583845,0
994,-2.317222,0
995,-1.866185,0
996,-1.4061406,0
997,-0.93800056,0
998,-0.4627453,0
999,0.018552989,0
1000,0.5046991,0
1001,0.46553022,1
1002,0.5323968,1
1003,0.6832012,1
1004,0.8975918,1
1005,1.1578197,1
1006,1.4490203,1
1007,1.7591219,1
1008,2.078561,1
1009,2.3999343,1
1010,2.7176437,1
1011,3.0275736,1
1012,3.3268082,1
1013,3.613389,1
1014,3.8861117,1
1015,4.144353,1
1016,4.3879266,1
1017,4.61697,1
1018,4.8318377,1
1019,5.033035,1
1020,5.2211504,1
1021,5.3968115,1
1022,5.5606513,1
1023,5.7132864,1
1024,5.855299,1
1025,5.987226,1
1026,6.1095634,1
1027,6.2227592,1
1028,6.3272166,1
1029,6.4233003,1
1030,6.5113373,1
1031,6.591625,1
1032,6.664435,1
1033,6.730015,1
1034,6.788598,1
1035,6.8403993,1
1036,6.885627,1
1037,6.924479,1
1038,6.957142,1
1039,6.983801,1
1040,7.0046363,1
1041,7.019821,1
1042,7.0295258,1
1043,7.0339174,1
1044,7.0331573,1
1045,7.0274053,1
1046,7.016816,1
1047,7.0015345,1
1048,6.981709,1
1049,6.957478,1
1050,6.9289746,1
1051,6.896328,1
1052,6.8596635,1
1053,6.819095,1
1054,6.774737,1
1055,6.7266955,1
1056,6.6750727,1
1057,6.619966,1
1058,6.561463,1
1059,6.4996533,1
1060,6.4346156,1
1061,6.3664274,1
1062,6.295161,1
1063,6.220884,1
1064,6.1436596,1
1065,6.0635457,1
1066,5.9806004,1
1067,5.89487,1
1068,5.8064065,1
1069,5.715249,1
1070,5.6214395,1
1071,5.5250134,1
1072,5.4260006,1
1073,5.324431,1
1074,5.2203274,1
1075,5.1137094,1
1076,5.004595,1
1077,4.892995,1
1078,4.7789183,1
1079,4.662373,1
1080,4.543357,1
1081,4.421868,1
1082,4.2979016,1
1083,4.1714463,1
1084,4.042488,1
1085,3.9110103,1
1086,3.776994,1
1087,3.640413,1
1088,3.5012422,1
1089,3.3594494,1
1090,3.215002,1
1091,3.0678647,1
1092,2.9180007,1
1093,2.7653666,1
1094,2.6099224,1
1095,2.4516246,1
1096,2.2904289,1
1097,2.1262877,1
1098,1.9591591,1
1099,1.7889953,1
